"error_severity","event_message","id","identifier","timestamp"
"LOG","connection authorized: user=supabase_auth_admin database=postgres","e8efd0cc-201b-4ecd-abdd-08d91c64ccbd","vjhrmizwqhmafkxbmfwa","1743133887482000"
"LOG","connection received: host=127.0.0.1 port=47833","72daaaac-dad6-4d1c-bbe5-1ae79d08bee0","vjhrmizwqhmafkxbmfwa","1743133887481000"
"LOG","connection received: host=::1 port=64515","872f638a-5384-4a95-9d4f-160bfaf46a06","vjhrmizwqhmafkxbmfwa","1743133873999000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter","640bd999-3f2c-4b0e-8573-7825f16e9489","vjhrmizwqhmafkxbmfwa","1743133873999000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","d2abc6ac-dc24-4cc0-a289-720f7e8b335d","vjhrmizwqhmafkxbmfwa","1743133833772000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","4da6f274-9a64-4bdc-891a-8fce47dc1d87","vjhrmizwqhmafkxbmfwa","1743133833772000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","072c3187-edd4-4178-acbc-ac86ea9c1759","vjhrmizwqhmafkxbmfwa","1743133833737000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","e923ef94-749b-48a1-92f3-9797b36ce0d0","vjhrmizwqhmafkxbmfwa","1743133833737000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","97a1fdc7-25a2-47f5-a49f-85d2e5149203","vjhrmizwqhmafkxbmfwa","1743133833699000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","cfcd56f9-d91c-4cc4-a80e-a0865ae4646c","vjhrmizwqhmafkxbmfwa","1743133833699000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","f52cd526-48a8-4cf3-b410-201b77401d4a","vjhrmizwqhmafkxbmfwa","1743133833648000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","60b24ddf-5ab9-42de-8c12-72035b578b81","vjhrmizwqhmafkxbmfwa","1743133833648000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","72bf78de-6032-49ae-8e7c-4350ca0d0338","vjhrmizwqhmafkxbmfwa","1743133833597000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","e8e3f7c6-fd65-450b-9b9e-3f95ac5c83ff","vjhrmizwqhmafkxbmfwa","1743133833597000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","5e5831b1-c3a5-4052-8a40-0b3d676542f3","vjhrmizwqhmafkxbmfwa","1743133833587000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","14580f21-177f-458b-ac87-ee012f7313b8","vjhrmizwqhmafkxbmfwa","1743133833587000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","2d5d1eaa-52bd-4871-a366-ba640ffae0ed","vjhrmizwqhmafkxbmfwa","1743133833550000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","49d638ae-ac17-4543-87c1-b7bd9eb813c1","vjhrmizwqhmafkxbmfwa","1743133833550000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","dfbd01da-e4c4-42d9-ac40-ea557697fe4e","vjhrmizwqhmafkxbmfwa","1743133833363000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","2d8e8943-73e3-45b4-ae87-ea209bf55b8d","vjhrmizwqhmafkxbmfwa","1743133833363000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","a9c12b26-bae7-46e8-a560-1ae6cce8d6c1","vjhrmizwqhmafkxbmfwa","1743133833344000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","c2677fbc-448f-4f39-95c8-aaa3c942eb3c","vjhrmizwqhmafkxbmfwa","1743133833344000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","b6d8c492-63ad-4084-8df6-8d6a5e53335e","vjhrmizwqhmafkxbmfwa","1743133833213000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","021a0fa0-5f42-4790-a445-42ad2209266e","vjhrmizwqhmafkxbmfwa","1743133833213000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","2a21d729-dce9-443f-8f0e-e52a9b8c6cae","vjhrmizwqhmafkxbmfwa","1743133833079000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","4cdf9c40-df3c-4e01-a36a-a0de64a4ad63","vjhrmizwqhmafkxbmfwa","1743133833079000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","d29699a7-0f59-42ef-8b08-b3eec5fe64a5","vjhrmizwqhmafkxbmfwa","1743133832976000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","a5bb4c89-b8c3-4a34-9876-c61a8df2533c","vjhrmizwqhmafkxbmfwa","1743133832976000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","914bfde4-4366-4a50-a3ff-36fb4d798ed9","vjhrmizwqhmafkxbmfwa","1743133832778000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","b03ed85c-3581-4bf6-9e54-ca64ed82706b","vjhrmizwqhmafkxbmfwa","1743133832778000"
"LOG","connection received: host=2600:1f18:2a66:6e01:aa4:907f:bed2:ae10 port=44534","b28c0f98-9282-4e11-ab82-b8222f594af4","vjhrmizwqhmafkxbmfwa","1743133832727000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","3fc3e1fc-8cf3-4646-9840-c699e5312247","vjhrmizwqhmafkxbmfwa","1743133832038000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","c92bf7b7-ef7d-43d7-a577-f4f812eb4738","vjhrmizwqhmafkxbmfwa","1743133832038000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","9a2f4acc-310d-4ae7-9732-e892e6b447ae","vjhrmizwqhmafkxbmfwa","1743133831834000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","ccce7fb9-20bf-47d3-81db-d7a1519f42e1","vjhrmizwqhmafkxbmfwa","1743133831834000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","590af200-e99e-44a3-bc98-4b9fdd180415","vjhrmizwqhmafkxbmfwa","1743133831353000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","3d8e5ffa-2bad-43af-9ed2-9d27894e1c5a","vjhrmizwqhmafkxbmfwa","1743133831353000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","979e2a43-fc11-428c-8431-65afc20dfd12","vjhrmizwqhmafkxbmfwa","1743133831353000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","818b60df-b878-4b5e-9d5e-9029faf3fd32","vjhrmizwqhmafkxbmfwa","1743133831353000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","4994fbb3-0d7d-4eea-8c6e-3e356ac33e72","vjhrmizwqhmafkxbmfwa","1743133831345000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","2033af67-94cb-425e-a0f1-07c4f23da93b","vjhrmizwqhmafkxbmfwa","1743133831345000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","29b25243-0688-43a0-a1e2-4513f15c6fa3","vjhrmizwqhmafkxbmfwa","1743133831345000"
